registred_name,registered_country_code,registered_country,registered_region,registered_city,registered_postcode,registered_street,registered_street_number,registered_latitude,registered_longitude,registered_primary_phone,jurisdiction,legal_form,company_status,year_incorporated,date_incorporated,lei_id,ein_id,vat_id,registry_id
Safe Work Laboratories Pty Ltd,AU,Australia,Victoria,Melbourne,3149,,,-37.88290405,145.136673,,au,Australian Private Company,Active,2011,25-11-2011,,,,98154468890
"LYON SHEET METAL & HEATING, INC.",US,United States,Minnesota,Sauk Rapids,56379,Stearns Drive,235,45.59885406,-94.15380096,3207746084,us-mn,Corporation,Active,1982,12-11-1982,,,,411437207
"NORTH JERSEY INSPECTION SERVICE, INC.",US,United States,New Jersey,,,,,,,,us-nj,Limited Liability Company,Active,1988,17-10-1988,,,,100392838
"WASTE RECOVERY SYSTEMS, INC.",US,United States,Michigan,Wyoming,49509,Clyde Park Avenue Southwest,4750,42.8780098,-85.68419647,,us-mi,Corporation,Active,2007,30-03-2007,,,,800688729
"PETER J. CARUSO & SONS, INC.",US,United States,Pennsylvania,Pittsburgh,15207,Baldwin Road,352,40.38895416,-79.93269348,4124624500,us-pa,Corporation,Active,1972,28-06-1972,,,,251236624
American Pressure Inc.,US,United States,Minnesota,Robbinsdale,55422,West Broadway Avenue,3810,45.02462006,-93.33135223,,us-mn,Corporation,Active,1985,07-10-1985,,,,5A-1100
"NEW ENGLAND RIGHT OF WAY VEGETATION MANAGEMENT, LLC",US,United States,New Hampshire,Webster,3303,Clough-Sanborn Hill Road,256,43.27938461,-71.74188995,,us-nh,Domestic Limited Liability Company,Active,2001,12-10-2001,,,,387943
"C.W. BRINKLEY, INC.",US,United States,Virginia,Suffolk,23434,Corporate Lane,3005,36.77820206,-76.58164978,7575399111,us-va,Corporation,Active,1974,02-01-1974,,,,540948765
"ADVANCED CONTRACTING GROUP, LLC",US,United States,Colorado,Rifle,81650,,,39.5347023,-107.7831192,,us-tx,Limited Liability Company,Active,2014,14-08-2014,,,,802045389
"SWAIN ELECTRIC, INC.",US,United States,Arizona,Gilbert,85233,North Monterey Street,756,33.3637085,-111.8001938,4808323299,us-az,Corporation,Active,1989,28-12-1989,,860661495,,860661495
R. J. Nardone Construction Inc.,US,United States,Massachusetts,Dennis,2660,Great Western Road,228,41.69017792,-70.13431549,15083944177,us-ma,Corporation,Active,1977,11-08-1977,,,,42613609
"Powder Process-Solutions, Inc.",US,United States,Minnesota,Chanhassen,55317,Lake Drive West,1620,44.85441208,-93.5565567,,us-mn,Corporation,Active,2010,10-12-2010,,,,4092537-2
WAJAX LIMITED,CA,Canada,Ontario,Mississauga,L5N 6A5,Argentia Road,2250,43.59743118,-79.74703979,,ca-on,Business corporations (which includes professional corporations),Active,2010,02-03-2010,54930047NLDDZSRDPL09,,,434206
RYCOM INC.,CA,Canada,Ontario,Vaughan,L4H 0K7,Highway 7,6201,43.77258682,-79.62317657,,ca-qc,Joint stock company or corporation,Inactive,2009,12-02-2009,,,,1165685810
LACY CONSTRUCTION,US,United States,California,Anaheim,92806,East Coronado Street,3006,33.85349274,-117.8625031,,us-ca,Corporation,Active,2012,18-12-2012,,,,3530882
SOLV SOLUTIONS PTY LTD,AU,Australia,Western Australia,City Of Melville,6153,,,-32.01392746,115.8363876,,au,Australian Private Company,Active,2009,12-03-2009,,,,22135821037
GROUND ZERO PLUMBING & AC LLC,US,United States,Arizona,Gilbert,85233,North Pasadena Street,240,33.35451508,-111.8281021,6026353032,us-az,Limited Liability Company,Active,2005,11-02-2005,,,,L11808791
Franc Environmental Inc,US,United States,Pennsylvania,Horsham,19044,Maple Avenue,321,40.18754959,-75.13933563,12154430650,us-pa,Corporation,Active,1998,01-12-1998,,232983235,,2848182
DGIT SYSTEMS PTY LTD,AU,Australia,Victoria,,,,,-36.59860992,144.678009,,au,Australian Private Company,Active,2005,22-04-2005,,,,26113945449
"LOUREIRO ENGINEERING ASSOCIATES, INC.",US,United States,Connecticut,Plainville,6062,Northwest Drive,100,41.69018936,-72.87918091,8607476181,us-ct,Stock,Active,1998,20-02-1998,,60918334,,60918334
EEVERY LIMITED,GB,United Kingdom,England,Camden Town,W1W 5PF,Great Portland Street,5th floor,51.52141953,-0.1433234066,442031760750,gb,Private Limited Company,Active,2021,07-05-2021,,,,13382503
FACEC LIMITED,GB,United Kingdom,England,Islington,W1F 0TA,Wardour Street,,51.51396561,-0.1343351007,,gb,Private Limited Company,Active,2022,09-06-2022,,,,14162418
UY ACCOUNTANTS LTD,GB,United Kingdom,England,London,HA3 7RT,Archery Close,26,51.59629822,-0.3280448914,447956585693,gb,Private Limited Company,Active,2019,28-01-2019,,,,11792633
MAJESTIK AESTHETICS LIMITED,GB,United Kingdom,England,Staines-upon-Thames,TW18 4PD,High Street,133-135,51.43494797,-0.5082684755,,gb,Private Limited Company,Active,2022,13-10-2022,,,,14417917
